iter	RMSE
0	7777.47011
1	7543.96453
2	7334.74248
3	7116.003474
4	6916.656835
5	6722.939092
6	6567.166777
7	6392.962
8	6229.872082
9	6062.03692
10	5890.863983
11	5727.494253
12	5571.865573
13	5430.213823
14	5284.815316
15	5138.756819
16	5022.213254
17	4887.156302
18	4755.612931
19	4653.965843
20	4545.561264
21	4440.549652
22	4332.897684
23	4228.101582
24	4156.271531
25	4062.805406
26	3964.071955
27	3865.292081
28	3785.501156
29	3696.486074
30	3625.692859
31	3547.298763
32	3472.530351
33	3395.05845
34	3317.700182
35	3244.028587
36	3169.079667
37	3098.427407
38	3034.702765
39	2968.778473
40	2911.727869
41	2857.649485
42	2805.923349
43	2758.705665
44	2710.275741
45	2658.838276
46	2607.659304
47	2562.738332
48	2513.22565
49	2473.197524
50	2429.34657
51	2390.401498
52	2353.739597
53	2314.308949
54	2276.075288
55	2235.705911
56	2201.710752
57	2188.125494
58	2168.324586
59	2139.795283
60	2121.903477
61	2107.458225
62	2092.644664
63	2063.41588
64	2024.69323
65	2010.021479
66	1986.11578
67	1972.295082
68	1941.100372
69	1914.178023
70	1901.477265
71	1875.564879
72	1864.083421
73	1851.152415
74	1826.648632
75	1797.728857
76	1777.812822
77	1758.208046
78	1732.166067
79	1719.002305
80	1705.742049
81	1684.129481
82	1658.48387
83	1647.313934
84	1637.146868
85	1627.185255
86	1617.095701
87	1590.88044
88	1565.733267
89	1554.191257
90	1543.982355
91	1533.696454
92	1522.592824
93	1510.854919
94	1499.522176
95	1488.784229
96	1476.752024
97	1458.897601
98	1447.916177
99	1428.122826
100	1406.969418
101	1387.331725
102	1378.822873
103	1367.968679
104	1358.666313
105	1342.953386
106	1320.251405
107	1301.343913
108	1283.028643
109	1273.599113
110	1254.478905
111	1243.178974
112	1233.118752
113	1220.384838
114	1201.56239
115	1183.249001
116	1173.683921
117	1165.023433
118	1148.260991
119	1140.629236
120	1133.548733
121	1116.954951
122	1109.011566
123	1100.749451
124	1094.011045
125	1085.452501
126	1078.585355
127	1072.122742
128	1064.793947
129	1049.558425
130	1039.070708
131	1031.611275
132	1018.255373
133	1005.808952
134	997.535485
135	990.1413712
136	982.1194818
137	972.8790476
138	957.0470126
139	942.6107542
140	929.0400225
141	915.5417282
142	902.7880374
143	896.4638438
144	888.0841332
145	881.732937
146	876.0136005
147	870.4485617
148	864.6351602
149	851.6504043
150	845.0198174
151	839.637493
152	833.7498691
153	828.7836164
154	823.202823
155	811.0827855
156	805.1074837
157	800.3405864
158	794.4088874
159	784.6023857
160	775.5372733
161	763.7761986
162	754.3811655
163	748.0451974
164	743.4302411
165	733.0890094
166	728.3220324
167	723.9722456
168	713.711112
169	708.983609
170	704.6480988
171	700.0476648
172	695.1833641
173	685.7835186
174	681.66532
175	677.4363129
176	673.4011171
177	663.3987172
178	658.5909144
179	650.837376
180	647.2422298
181	642.8580207
182	638.9073229
183	633.7275946
184	629.7910634
185	624.817877
186	619.8046459
187	615.1808182
188	607.180153
189	599.2912136
190	595.4147706
191	587.9352658
192	583.5984703
193	580.1248974
194	572.002084
195	568.535856
196	561.2216071
197	557.2642046
198	553.4567203
199	550.2586301
200	547.1064018
201	543.1465345
202	539.6089348
203	532.1997837
204	529.2130646
205	522.5731545
206	519.6230501
207	512.4109022
208	505.8663945
209	503.0180708
210	499.9767543
211	493.7042495
212	490.7271794
213	484.4365917
214	481.3661708
215	478.3620259
216	475.4395847
217	472.9228996
218	470.4160576
219	467.63333
220	461.7388436
221	459.177317
222	456.4951688
223	451.0353596
224	448.7139854
225	446.565394
226	441.1147279
227	438.6796401
228	435.5868521
229	433.0346366
230	430.7233047
231	428.1908782
232	425.9468976
233	423.3210227
234	418.1187642
235	413.170908
236	411.0636293
237	408.3747951
238	405.7224952
239	401.2029267
240	396.4691666
241	394.4788839
242	392.0997713
243	387.9111743
244	385.9858189
245	383.9481363
246	379.4320731
247	377.5882217
248	376.0465987
249	374.2547689
250	372.4973073
251	370.7304932
252	369.119107
253	367.7470583
254	366.0930156
255	361.9064459
256	360.2676218
257	358.949418
258	355.1266636
259	353.5822281
260	349.6345791
261	345.9453158
262	342.8809767
263	339.4692767
264	336.379597
265	334.9409137
266	331.8583211
267	330.7110236
268	329.2881588
269	327.7426432
270	326.6639268
271	325.609267
272	324.2970323
273	321.1142297
274	318.1851959
275	315.3296139
276	312.5734647
277	311.288917
278	308.7294675
279	306.45175
280	303.8165228
281	301.6376862
282	299.2519942
283	298.022978
284	296.789963
285	294.5999645
286	292.5960149
287	291.5511155
288	290.4163505
289	289.3055888
290	287.2959998
291	286.2822045
292	285.2546004
293	284.2250634
294	283.1925468
295	281.1050566
296	279.1476559
297	278.2213985
298	276.4420677
299	275.1683632
300	273.5633836
301	271.6129362
302	270.7433311
303	269.0664399
304	268.2199692
305	267.3908706
306	266.5370556
307	265.562177
308	264.7723844
309	263.1234957
310	262.2973971
311	260.7103908
312	259.96085
313	259.2147823
314	257.6706165
315	256.9190472
316	256.0649941
317	254.7551738
318	253.2453869
319	252.5701588
320	251.8921918
321	251.1570023
322	249.8711449
323	248.9912762
324	247.6195402
325	246.3110674
326	245.0037091
327	244.3207216
328	243.7483165
329	242.4585425
330	241.8205849
331	241.1804859
332	240.6206264
333	239.6659957
334	238.6745397
335	238.1223986
336	237.4567582
337	235.9650625
338	234.8640884
339	234.2272198
340	233.2998905
341	232.7514683
342	232.1401112
343	230.6118598
344	229.9175942
345	229.3987982
346	228.7578469
347	227.4094353
348	226.9161612
349	226.1167748
350	225.2099296
351	224.5351473
352	224.081774
353	223.5533215
354	223.0839208
355	221.7772871
356	221.3776619
357	220.7670171
358	220.2726587
359	219.0658617
360	218.1205067
361	217.4755149
362	216.6444329
363	215.932428
364	214.8071544
365	214.0927446
366	213.5795322
367	213.2314198
368	212.7798517
369	211.7238302
370	211.3854992
371	210.0909912
372	209.7615837
373	208.8222475
374	208.4958082
375	208.1829706
376	207.8643927
377	207.3937028
378	206.4937325
379	206.1985142
380	205.1177831
381	204.5354952
382	203.6013464
383	203.3166658
384	203.0483328
385	202.2842376
386	201.0900305
387	200.6640703
388	199.810268
389	199.5493323
390	198.8495336
391	198.3965112
392	197.87778
393	197.4555219
394	197.1127404
395	196.2857385
396	195.452277
397	194.9402174
398	194.5760158
399	194.3504244
400	193.9154384
401	193.5304126
402	193.1594343
403	192.7527122
404	192.4633422
405	191.8475937
406	191.1162953
407	190.9009037
408	190.7002135
409	190.5022545
410	190.3009164
411	189.3568767
412	189.029812
413	188.6998567
414	188.5134323
415	188.3149441
416	187.607865
417	187.1308748
418	186.9589893
419	186.7375472
420	185.7042166
421	185.5268966
422	185.175924
423	184.9377943
424	184.0864739
425	183.7421917
426	183.5878888
427	183.2763848
428	182.34028
429	182.1649421
430	181.3389844
431	181.0117441
432	180.8647735
433	180.6058085
434	179.8067736
435	179.6673304
436	179.40955
437	179.1452701
438	179.0038497
439	178.8328428
440	178.0537868
441	177.788543
442	177.3838052
443	177.2316938
444	177.0109424
445	176.7888364
446	175.890667
447	175.7281162
448	175.5782739
449	175.3710758
450	175.0937635
451	174.8270608
452	174.7019881
453	174.4131998
454	174.0783187
455	173.9074756
456	173.3872617
457	173.2628276
458	173.1553968
459	172.4797871
460	171.7076753
461	171.5028816
462	170.7933217
463	170.6950522
464	170.2157828
465	170.0922002
466	169.4692927
467	168.8281634
468	168.1494923
469	167.944598
470	167.3239816
471	167.1746821
472	166.796147
473	166.6120556
474	166.1860623
475	165.4049653
476	164.8180039
477	164.6438555
478	164.5365134
479	164.3527225
480	164.1875206
481	164.0349069
482	163.9337677
483	163.5814302
484	162.9792234
485	162.4195027
486	162.0066813
487	161.2668558
488	160.8743152
489	160.5455425
490	160.3136774
491	159.9762776
492	159.8846191
493	159.7479307
494	159.2637197
495	158.9031294
496	158.5073475
497	158.1724115
498	157.9069605
499	157.5035918
500	157.2716483
501	157.1694218
502	156.932145
503	156.3797345
504	156.0514863
505	155.5697601
506	155.4534527
507	155.3806225
508	155.2779162
509	154.9540921
510	154.208151
511	154.0742215
512	153.7182125
513	153.2400101
514	153.0151533
515	152.8381681
516	152.5307602
517	152.1762059
518	151.8578876
519	151.5924484
520	151.3235434
521	150.682411
522	150.3508113
523	149.9801285
524	149.6833977
525	149.4629326
526	148.9972846
527	148.494124
528	148.173353
529	147.8518455
530	147.4012679
531	147.0268204
532	146.7028932
533	146.0768357
534	145.6958562
535	145.3929298
536	145.1208705
537	144.6770482
538	144.4354893
539	143.9619765
540	143.7162539
541	143.3397161
542	143.0898901
543	142.9093732
544	142.6863461
545	142.5610235
546	142.3296292
547	141.9402811
548	141.754197
549	141.1514168
550	141.0345566
551	140.7585996
552	140.3079212
553	140.0611982
554	139.8594466
555	139.623735
556	139.4658265
557	139.200444
558	138.9699495
559	138.7832926
560	138.4259252
561	138.3234919
562	138.122331
563	137.9299287
564	137.7616787
565	137.4809449
566	137.1318973
567	136.8600757
568	136.5268875
569	136.2102911
570	136.0474925
571	135.770679
572	135.5500993
573	135.2213242
574	134.8958598
575	134.6383491
576	134.526856
577	134.3305991
578	134.0383026
579	133.9212446
580	133.6856407
581	133.4737812
582	133.276596
583	133.1190895
584	132.8051741
585	132.5240763
586	132.4311404
587	132.3413429
588	132.2587244
589	132.0667031
590	131.8152636
591	131.4874234
592	131.1966478
593	130.9608981
594	130.565334
595	130.3886905
596	130.2032997
597	130.1458568
598	130.0438708
599	129.8561014
600	129.6709828
601	129.3843056
602	129.1273697
603	128.7584416
604	128.6035797
605	128.5525981
606	128.3182853
607	128.2250752
608	128.097076
609	127.8029862
610	127.5781277
611	127.4137891
612	127.2035693
613	127.1160415
614	126.8217098
615	126.7935048
616	126.6072378
617	126.3284382
618	126.0523326
619	125.9247485
620	125.7026976
621	125.5731006
622	125.3382798
623	125.1132441
624	124.9263476
625	124.7183091
626	124.3197696
627	124.1426956
628	124.0062606
629	123.7468004
630	123.4321761
631	123.2271536
632	122.8453861
633	122.7661811
634	122.6015903
635	122.4102479
636	122.2026792
637	121.9652047
638	121.7488662
639	121.516364
640	121.348654
641	121.271589
642	121.1334772
643	120.8575559
644	120.614636
645	120.3446816
646	119.9376719
647	119.7403148
648	119.5325192
649	119.3167426
650	119.0937879
651	118.9856351
652	118.8619096
653	118.6527838
654	118.2736855
655	117.9946795
656	117.6375408
657	117.4871115
658	117.3383145
659	117.1297067
660	116.8582903
661	116.8210367
662	116.5444566
663	116.3371097
664	116.1492504
665	115.9221548
666	115.6985276
667	115.4763573
668	115.2872335
669	115.2124938
670	114.9998126
671	114.8184627
672	114.598321
673	114.4094456
674	114.2891082
675	114.142095
676	114.0958939
677	113.8802482
678	113.7352091
679	113.7219761
680	113.5467076
681	113.4068771
682	113.132584
683	112.896326
684	112.7669568
685	112.4726425
686	112.3521819
687	112.1748328
688	111.9424899
689	111.7460767
690	111.5507762
691	111.4870118
692	111.3309569
693	111.256338
694	110.9113638
695	110.6930741
696	110.5197129
697	110.3283721
698	110.2284176
699	110.0917524
700	110.0397096
701	109.7414392
702	109.5696205
703	109.2924029
704	109.1275093
705	109.048511
706	108.9259345
707	108.7349461
708	108.53495
709	108.2728358
710	108.1866229
711	107.9375745
712	107.7717712
713	107.6659177
714	107.5228115
715	107.3141816
716	107.156776
717	107.0177913
718	106.9015134
719	106.5963558
720	106.3680011
721	106.1834983
722	106.0666773
723	105.9933
724	105.8621988
725	105.7049581
726	105.5694348
727	105.2839968
728	105.2543688
729	105.0900057
730	104.9093695
731	104.6971504
732	104.6128051
733	104.439048
734	104.3859773
735	104.3479165
736	104.1827616
737	104.0096459
738	103.8716483
739	103.6687668
740	103.5632381
741	103.3307691
742	103.1847546
743	103.0712191
744	102.8316921
745	102.6177381
746	102.4144639
747	102.2519077
748	102.1420807
749	102.0591045
750	101.894995
751	101.7168487
752	101.5519919
753	101.3720962
754	101.214728
755	101.0169635
756	100.9365045
757	100.6433863
758	100.628501
759	100.4760421
760	100.2908427
761	100.1470554
762	100.0856091
763	99.78182216
764	99.60624034
765	99.54031993
766	99.35458263
767	99.11401021
768	98.93189856
769	98.8484126
770	98.78271159
771	98.65374849
772	98.49757894
773	98.3150928
774	98.16074004
775	97.93505387
776	97.81308221
777	97.70422853
778	97.62664045
779	97.48504353
780	97.37271785
781	97.18935897
782	96.99988851
783	96.8263905
784	96.77196891
785	96.56648828
786	96.4167506
787	96.35790561
788	96.17536269
789	96.03095896
790	95.87848809
791	95.76496587
792	95.54702315
793	95.41376839
794	95.23722526
795	95.08083024
796	95.03456647
797	94.81365192
798	94.7409441
799	94.64976847
800	94.47913383
801	94.37082264
802	94.23115875
803	94.12702634
804	94.10878619
805	93.88809714
806	93.71781534
807	93.563019
808	93.42126265
809	93.28094318
810	93.0369055
811	92.90751597
812	92.79214955
813	92.5843245
814	92.42218747
815	92.38200822
816	92.2251183
817	92.08090764
818	91.88055137
819	91.75714619
820	91.61375981
821	91.44371728
822	91.31134702
823	91.15805974
824	91.04645405
825	91.00388137
826	90.96818543
827	90.87382646
828	90.84910577
829	90.71748194
830	90.56497556
831	90.40918195
832	90.24454581
833	90.11420695
834	89.99294593
835	89.8516088
836	89.77166317
837	89.66801424
838	89.52393449
839	89.40118243
840	89.3416435
841	89.28111284
842	89.16787923
843	89.03204908
844	88.83855968
845	88.80389496
846	88.75095623
847	88.54204457
848	88.38234615
849	88.26659881
850	88.18348438
851	88.08768617
852	87.92275772
853	87.76564794
854	87.6827264
855	87.51872056
856	87.50348017
857	87.39819666
858	87.30187082
859	87.16359629
860	86.99637146
861	86.93242631
862	86.82062278
863	86.62892852
864	86.49627624
865	86.34361533
866	86.26315715
867	86.25573383
868	86.11900741
869	85.98730907
870	85.89147989
871	85.81904309
872	85.73330619
873	85.65514277
874	85.54090072
875	85.40303342
876	85.27860915
877	85.15753826
878	85.04101718
879	85.02616873
880	84.94711051
881	84.80657713
882	84.65797998
883	84.48356039
884	84.3143023
885	84.21994368
886	84.11567463
887	83.98425296
888	83.92659042
889	83.80402432
890	83.66479653
891	83.51083497
892	83.40083743
893	83.26170854
894	83.12061996
895	83.01088929
896	82.89184348
897	82.75824595
898	82.55987236
899	82.51844597
900	82.35862932
901	82.19088181
902	82.03781717
903	81.95710818
904	81.85921118
905	81.77970986
906	81.68018333
907	81.5890988
908	81.39674859
909	81.28821117
910	81.15133235
911	81.06329196
912	80.9939038
913	80.88159619
914	80.75609404
915	80.67168003
916	80.59080089
917	80.48659783
918	80.37037282
919	80.33821352
920	80.15382049
921	80.03831777
922	79.88241259
923	79.84845653
924	79.70079083
925	79.57291409
926	79.4633219
927	79.35953046
928	79.2056186
929	79.05161926
930	79.01610491
931	78.83845287
932	78.71981198
933	78.65571586
934	78.59019304
935	78.48121083
936	78.38874978
937	78.30345188
938	78.22556782
939	78.09296149
940	77.96357253
941	77.8312774
942	77.74642542
943	77.66773467
944	77.52743972
945	77.40959235
946	77.29606059
947	77.17778836
948	77.06572254
949	76.93252411
950	76.77846373
951	76.67176877
952	76.59215377
953	76.51654472
954	76.43228676
955	76.29905529
956	76.12574202
957	76.00223849
958	75.90205142
959	75.81933982
960	75.6876757
961	75.61168236
962	75.51395143
963	75.35265702
964	75.22734268
965	75.05196048
966	74.99526512
967	74.92607824
968	74.85762767
969	74.74901273
970	74.66007064
971	74.56338791
972	74.51293835
973	74.40660315
974	74.30061862
975	74.19809882
976	74.13178754
977	74.02790058
978	73.90785053
979	73.82645168
980	73.75492446
981	73.66186427
982	73.60192005
983	73.5201732
984	73.4893581
985	73.38446644
986	73.23671091
987	73.15633465
988	73.08010714
989	72.97797514
990	72.90506497
991	72.84743256
992	72.71436694
993	72.61910632
994	72.49956913
995	72.4262948
996	72.36951096
997	72.27211509
998	72.13831508
999	72.04700121
