iter	Passed	Remaining
0	0	66
1	0	58
2	0	50
3	0	46
4	1	43
5	1	43
6	1	41
7	1	39
8	1	39
9	2	38
10	2	38
11	2	38
12	2	36
13	2	37
14	2	36
15	3	35
16	3	34
17	3	34
18	3	33
19	3	33
20	3	33
21	4	33
22	4	32
23	4	32
24	4	32
25	4	31
26	5	32
27	5	32
28	5	32
29	5	32
30	5	32
31	6	31
32	6	31
33	6	31
34	6	31
35	6	31
36	7	31
37	7	30
38	7	30
39	7	30
40	7	29
41	7	29
42	8	29
43	8	28
44	8	28
45	8	28
46	8	28
47	8	27
48	9	27
49	9	27
50	9	27
51	9	27
52	9	27
53	9	26
54	10	26
55	10	26
56	10	26
57	10	26
58	10	25
59	11	25
60	11	25
61	11	25
62	11	24
63	11	24
64	11	24
65	11	24
66	12	23
67	12	23
68	12	23
69	12	23
70	12	23
71	13	24
72	13	23
73	13	23
74	14	23
75	14	23
76	14	23
77	14	23
78	14	22
79	15	22
80	15	22
81	15	22
82	15	22
83	16	22
84	16	22
85	16	21
86	16	21
87	16	21
88	17	21
89	17	21
90	17	20
91	17	20
92	17	20
93	17	20
94	18	20
95	18	19
96	18	19
97	18	19
98	19	19
99	19	19
100	19	19
101	19	18
102	19	18
103	20	18
104	20	18
105	20	18
106	20	18
107	20	17
108	21	17
109	21	17
110	21	17
111	21	17
112	22	16
113	22	16
114	22	16
115	22	16
116	22	16
117	23	16
118	23	15
119	23	15
120	23	15
121	23	15
122	23	15
123	24	14
124	24	14
125	24	14
126	24	14
127	24	14
128	25	13
129	25	13
130	25	13
131	25	13
132	25	13
133	26	12
134	26	12
135	26	12
136	26	12
137	27	12
138	27	11
139	27	11
140	27	11
141	28	11
142	28	11
143	28	11
144	28	10
145	29	10
146	29	10
147	29	10
148	29	10
149	29	9
150	30	9
151	30	9
152	30	9
153	30	9
154	31	9
155	31	8
156	31	8
157	31	8
158	32	8
159	32	8
160	32	7
161	32	7
162	33	7
163	33	7
164	33	7
165	33	6
166	34	6
167	34	6
168	34	6
169	34	6
170	34	5
171	35	5
172	35	5
173	35	5
174	35	5
175	35	4
176	36	4
177	36	4
178	36	4
179	36	4
180	37	3
181	37	3
182	37	3
183	37	3
184	38	3
185	38	2
186	38	2
187	38	2
188	39	2
189	39	2
190	39	1
191	39	1
192	40	1
193	40	1
194	40	1
195	40	0
196	41	0
197	41	0
198	41	0
199	41	0
