vehicle_type,energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years
EV,13.8,2.68,51768.21,0.14,80.72,138080.3,5.19,328.7,14.33
EV,15.58,6.33,44111.33,0.15,48.22,237818.1,6.09,255.42,11.31
EV,18.01,3.63,48772.91,0.14,67.79,126086.59,4.6,311.03,10.64
EV,13.7,-0.85,39148.49,0.1,67.86,135491.49,7.07,266.63,9.26
EV,10.84,-0.66,46485.86,0.13,79.55,126796.32,7.46,263.66,14.83
ICE,8.14,137.19,72144.44,0.26,61.84,203733.46,9.0,172.7,8.73
EV,19.24,-9.97,35488.24,0.14,72.1,135997.24,8.64,352.84,8.24
ICE,5.85,193.1,93416.88,0.38,40.32,128202.72,8.79,156.09,8.33
ICE,6.21,153.0,92269.88,0.32,53.41,197395.72,8.55,258.48,10.02
ICE,10.51,176.45,102408.92,0.35,42.52,151995.3,10.71,211.59,7.98
ICE,7.05,188.66,99459.46,0.33,49.97,207537.46,9.8,182.11,10.72
ICE,4.97,128.84,105211.49,0.26,61.53,197943.24,7.3,152.07,8.89
EV,14.04,3.86,58508.98,0.13,77.5,140844.33,6.05,376.8,12.21
ICE,7.36,97.42,29366.31,0.25,52.45,187679.75,8.4,199.86,6.3
EV,12.68,2.57,40399.54,0.06,86.36,132925.55,5.44,257.96,15.33
ICE,6.93,188.88,69859.18,0.23,29.13,103534.31,7.16,267.53,6.78
EV,15.16,10.73,47529.74,0.14,51.96,114031.46,7.37,213.04,9.33
EV,15.47,1.81,47001.62,0.11,70.93,137399.17,4.82,258.77,11.96
EV,11.22,-1.94,51057.54,0.13,56.26,130842.43,6.02,316.05,10.17
ICE,8.06,151.58,63054.99,0.3,33.64,168799.03,10.19,138.63,12.56
EV,17.03,8.55,58539.76,0.08,77.01,152968.01,4.97,330.76,9.04
ICE,5.37,125.48,80819.18,0.25,39.49,168257.33,9.22,151.53,8.86
EV,14.33,0.12,68093.06,0.11,78.14,173592.19,4.9,196.58,15.23
EV,14.72,4.62,48554.81,0.09,69.69,136397.58,5.37,211.12,10.99
ICE,4.74,94.77,71156.32,0.28,50.29,174920.49,9.68,181.24,11.65
EV,15.3,0.95,58852.31,0.19,81.84,142147.25,5.92,358.92,12.29
EV,10.58,-0.18,38880.33,0.13,67.78,91279.84,7.16,230.04,12.81
ICE,5.85,201.81,68037.72,0.24,41.43,235513.84,8.92,259.96,6.02
EV,14.21,-1.67,45757.64,0.12,59.82,74331.66,6.06,243.74,12.43
EV,16.42,6.64,58187.78,0.1,63.32,134204.05,6.44,352.61,11.71
EV,9.61,-0.94,46294.92,0.13,56.07,131772.94,6.55,206.35,7.59
ICE,7.93,179.49,66153.91,0.28,60.57,211945.93,9.27,201.32,12.61
EV,14.95,1.09,48372.07,0.11,62.23,226181.45,4.73,308.17,8.14
ICE,7.75,114.19,100546.72,0.24,59.39,204515.36,8.67,118.26,9.57
ICE,7.88,179.47,77287.89,0.26,44.18,232045.19,10.67,187.38,5.52
EV,13.04,3.15,27807.0,0.13,73.44,168796.15,6.14,287.63,14.58
ICE,7.22,134.04,75957.59,0.24,64.36,216877.46,10.93,193.31,12.02
ICE,8.05,123.99,61356.93,0.24,47.74,190648.61,9.21,191.24,9.21
ICE,7.94,133.5,63004.36,0.24,45.14,156521.67,7.03,241.3,10.34
EV,14.9,-0.64,52956.24,0.1,61.94,160750.34,5.36,296.86,10.59
EV,14.63,-2.42,48832.34,0.09,77.56,183096.53,6.44,328.85,12.29
