iter	RMSE
0	9424.12466
1	9179.607949
2	8956.742137
3	8742.6764
4	8543.027983
5	8356.73343
6	8182.773187
7	8018.900973
8	7866.515097
9	7722.14006
10	7586.818573
11	7460.790237
12	7342.230782
13	7232.536245
14	7132.134903
15	7037.680999
16	6946.104226
17	6864.67215
18	6789.173271
19	6718.226272
20	6650.059937
21	6589.953617
22	6530.438513
23	6479.192752
24	6431.992305
25	6383.85184
26	6343.541412
27	6301.410568
28	6266.499629
29	6227.700139
30	6198.448426
31	6170.493004
32	6142.299701
33	6114.260695
34	6092.045163
35	6072.677271
36	6049.35564
37	6027.223741
38	6009.135738
39	5987.304027
40	5965.245705
41	5946.44272
42	5927.393732
43	5906.002641
44	5888.952283
45	5878.577276
46	5867.428103
47	5852.075227
48	5836.786726
49	5819.583164
50	5803.549301
51	5789.800053
52	5781.468577
53	5770.283036
54	5758.759086
55	5748.955448
56	5737.004919
57	5728.965985
58	5720.455526
59	5705.83801
60	5697.975757
61	5689.176651
62	5676.90422
63	5668.15852
64	5661.364985
65	5650.755377
66	5640.796392
67	5633.918911
68	5622.665374
69	5616.224167
70	5615.114997
71	5608.493348
72	5601.949389
73	5592.555121
74	5579.998916
75	5570.51414
76	5562.593322
77	5555.203908
78	5543.832021
79	5538.707568
80	5529.588486
81	5523.134725
82	5516.627993
83	5508.02613
84	5496.145888
85	5489.867721
86	5484.288265
87	5474.248321
88	5467.414737
89	5463.3847
90	5455.27012
91	5450.852815
92	5446.675984
93	5440.855821
94	5432.00196
95	5425.014192
96	5417.979155
97	5410.73958
98	5405.204294
99	5396.226457
100	5393.058865
101	5387.434488
102	5378.464441
103	5369.40674
104	5362.786174
105	5358.280555
106	5352.685028
107	5347.706285
108	5339.513595
109	5336.659053
110	5332.689335
111	5327.179008
112	5323.098484
113	5314.821064
114	5308.399683
115	5305.857844
116	5302.86876
117	5294.242775
118	5288.738725
119	5283.136603
120	5276.384897
121	5271.377667
122	5268.702957
123	5264.587307
124	5259.733984
125	5257.051712
126	5251.650829
127	5245.707508
128	5242.050441
129	5237.710715
130	5232.43423
131	5230.9337
132	5224.638108
133	5219.767539
134	5218.712892
135	5218.523071
136	5214.441265
137	5206.140762
138	5203.133402
139	5199.41643
140	5196.010683
141	5190.34632
142	5184.303483
143	5176.502818
144	5170.481944
145	5165.442304
146	5162.594363
147	5159.112534
148	5154.230103
149	5149.516565
150	5144.769135
151	5137.630865
152	5132.866941
153	5129.364227
154	5124.447304
155	5117.527216
156	5116.1298
157	5111.404853
158	5107.139175
159	5099.52855
160	5096.394027
161	5093.391741
162	5089.26743
163	5081.054632
164	5069.711969
165	5066.042336
166	5058.568056
167	5051.547599
168	5047.764394
169	5043.108382
170	5040.298608
171	5032.004802
172	5027.627992
173	5021.33539
174	5017.131661
175	5010.550375
176	5004.563751
177	4999.418815
178	4997.527064
179	4992.053119
180	4984.09157
181	4980.412147
182	4975.452483
183	4969.924667
184	4962.770999
185	4955.621478
186	4946.25639
187	4942.108694
188	4931.715973
189	4922.649244
190	4916.517039
191	4915.114212
192	4912.269542
193	4909.353089
194	4901.002348
195	4897.124138
196	4895.607526
197	4887.211592
198	4882.114916
199	4878.630336
200	4873.88197
201	4865.910048
202	4860.921931
203	4858.415167
204	4850.859054
205	4846.667269
206	4843.359319
207	4841.86098
208	4837.097765
209	4830.502915
210	4823.955518
211	4816.891445
212	4811.522321
213	4809.571862
214	4806.125908
215	4799.995258
216	4793.275598
217	4790.258764
218	4782.857463
219	4773.365534
220	4766.201786
221	4760.360405
222	4757.728231
223	4753.511649
224	4748.652859
225	4743.342742
226	4736.805065
227	4732.356002
228	4724.684442
229	4719.713722
230	4713.681972
231	4710.320678
232	4705.654036
233	4699.270947
234	4693.986444
235	4687.131867
236	4683.135266
237	4679.119711
238	4675.420738
239	4669.147477
240	4666.471199
241	4659.662662
242	4651.876228
243	4646.696185
244	4642.174135
245	4639.313583
246	4634.303397
247	4627.908604
248	4622.217141
249	4615.522194
250	4610.690292
251	4605.151401
252	4599.676276
253	4596.495543
254	4593.799659
255	4589.316171
256	4587.057897
257	4581.945122
258	4577.893643
259	4573.54475
260	4570.6356
261	4568.902801
262	4564.682324
263	4561.171025
264	4559.390473
265	4556.441592
266	4550.191245
267	4546.18924
268	4544.205112
269	4539.481235
270	4535.534889
271	4532.209713
272	4526.325073
273	4520.189575
274	4515.366203
275	4512.212533
276	4509.638201
277	4506.795197
278	4501.523389
279	4499.749152
280	4495.61906
281	4489.793859
282	4488.108822
283	4484.633307
284	4482.866785
285	4480.240901
286	4475.325701
287	4473.084255
288	4470.086667
289	4462.045474
290	4455.765971
291	4450.668516
292	4444.786309
293	4440.727763
294	4435.685114
295	4428.391144
296	4421.006017
297	4418.510803
298	4413.437429
299	4409.7531
300	4406.51879
301	4404.538717
302	4399.623236
303	4393.344858
304	4387.715107
305	4383.591889
306	4379.190277
307	4374.529102
308	4371.031448
309	4363.063809
310	4360.832773
311	4357.796557
312	4355.854307
313	4352.415057
314	4346.642421
315	4343.218068
316	4340.904491
317	4335.576383
318	4330.790708
319	4326.790829
320	4324.250435
321	4321.031058
322	4318.209743
323	4312.17146
324	4310.542477
325	4308.641568
326	4304.30244
327	4299.561468
328	4295.450646
329	4292.747991
330	4286.494872
331	4282.683874
332	4277.864882
333	4275.227446
334	4270.671208
335	4269.502814
336	4266.602239
337	4263.250541
338	4257.82742
339	4255.23311
340	4252.232049
341	4248.773445
342	4247.372629
343	4245.885457
344	4242.975046
345	4241.444184
346	4239.028957
347	4236.901411
348	4229.069819
349	4227.527676
350	4224.258146
351	4219.580628
352	4212.458054
353	4209.010214
354	4201.759736
355	4199.682619
356	4198.11848
357	4193.613294
358	4191.973387
359	4189.664238
360	4183.63947
361	4181.801801
362	4180.306082
363	4177.380299
364	4174.379174
365	4170.551269
366	4168.361586
367	4165.708391
368	4163.203476
369	4161.0047
370	4160.028663
371	4157.12677
372	4151.146425
373	4143.928482
374	4138.621458
375	4131.836127
376	4127.020171
377	4122.73543
378	4116.552335
379	4114.929635
380	4113.583663
381	4106.277453
382	4102.072371
383	4094.453921
384	4088.536538
385	4083.876114
386	4078.471251
387	4077.265226
388	4070.147481
389	4065.967552
390	4059.856736
391	4058.010539
392	4055.855916
393	4053.805903
394	4050.041584
395	4046.978465
396	4045.369172
397	4042.962274
398	4041.400625
399	4034.541271
400	4028.138086
401	4025.781346
402	4018.63985
403	4015.349508
404	4011.386814
405	4007.830395
406	4004.840585
407	3999.80503
408	3998.798994
409	3996.021557
410	3992.267316
411	3989.871818
412	3987.881801
413	3982.520404
414	3981.534279
415	3975.260121
416	3971.320725
417	3966.873658
418	3960.747441
419	3952.953755
420	3950.876337
421	3948.988225
422	3947.130907
423	3941.177322
424	3938.454884
425	3937.289873
426	3933.978702
427	3930.044525
428	3928.947055
429	3926.478093
430	3922.561227
431	3916.869843
432	3913.851736
433	3911.5051
434	3907.309922
435	3905.519482
436	3903.551635
437	3902.221209
438	3899.956015
439	3896.428005
440	3890.126188
441	3886.986471
442	3883.792772
443	3880.864012
444	3875.128432
445	3871.307042
446	3868.521264
447	3862.216845
448	3859.804976
449	3855.067376
450	3849.121311
451	3846.582083
452	3841.371269
453	3836.150631
454	3832.669886
455	3831.178826
456	3829.021909
457	3824.454932
458	3821.659477
459	3819.013344
460	3816.019387
461	3810.372689
462	3808.323482
463	3803.416372
464	3802.002542
465	3798.280275
466	3797.12966
467	3793.760722
468	3791.851962
469	3789.324394
470	3788.20605
471	3783.951714
472	3780.776079
473	3778.724992
474	3775.336972
475	3773.798513
476	3770.968862
477	3769.228645
478	3763.073851
479	3762.084709
480	3761.271186
481	3760.448555
482	3756.433315
483	3751.317399
484	3747.937114
485	3746.526058
486	3743.678328
487	3738.665742
488	3738.146015
489	3734.682748
490	3729.484545
491	3728.027036
492	3725.580492
493	3721.113415
494	3717.528864
495	3713.562973
496	3708.5169
497	3705.551596
498	3704.995703
499	3700.062827
500	3698.439336
501	3694.160589
502	3688.979347
503	3687.616694
504	3683.656593
505	3683.238062
506	3679.54099
507	3678.306416
508	3676.238705
509	3672.925095
510	3670.662852
511	3668.916509
512	3662.414554
513	3660.326546
514	3657.981466
515	3654.561315
516	3648.455005
517	3642.860177
518	3640.809905
519	3639.279059
520	3637.313125
521	3632.173466
522	3630.319988
523	3628.067103
524	3626.595744
525	3623.597886
526	3618.656974
527	3616.007781
528	3612.28343
529	3610.474314
530	3606.665257
531	3604.832438
532	3602.085547
533	3598.735384
534	3595.819131
535	3593.089862
536	3591.262597
537	3587.946171
538	3584.162721
539	3580.843947
540	3578.907521
541	3576.580059
542	3573.501526
543	3570.991693
544	3569.244637
545	3565.888261
546	3562.792625
547	3559.972956
548	3552.434106
549	3550.071534
550	3547.311174
551	3542.855112
552	3541.597746
553	3539.171873
554	3537.968606
555	3535.557052
556	3531.304168
557	3530.18821
558	3529.042629
559	3526.358059
560	3524.740097
561	3518.432686
562	3515.248894
563	3512.716734
564	3508.873496
565	3507.276796
566	3505.894584
567	3502.536372
568	3499.944675
569	3493.396649
570	3489.56842
571	3486.611009
572	3486.091489
573	3482.484598
