,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
Gradient Boosting,2024.032936117876,85.3134371617958,1521.4390013629652,0.37741105448899714,1999.6559963557381,2513.161665146034,0.012228153443355816,7.0
Tuned Gradient Boosting,,,1912.2142292436804,0.003161557980878027,2041.6019507455997,2528.889851720467,-0.00017413197632221156,
Linear Regression,1934.0842880063524,114.98218680025106,1904.6021581781342,0.011905237224129173,2034.7622276713612,2535.745959292126,-0.0056046546983863355,7.0
Tuned Linear Regression,,,1904.6021581781342,0.011905237224129173,2034.7622276713612,2535.745959292126,-0.0056046546983863355,
Lasso Regression,1933.7424529473021,114.02695221880514,1904.085847938435,0.011803298450753896,2036.9468333910045,2537.5048732716973,-0.007000208957913978,7.0
Ridge Regression,1933.0527731242553,114.59458113423898,1904.1467224240319,0.011800110722957835,2036.9653634715721,2537.5356733137933,-0.007024654890913862,7.0
Random Forest,2026.0014103740607,101.87642048585793,732.3797973602632,0.8558921788163574,2074.836389207632,2570.1128115230645,-0.03304719711878401,7.0
LightGBM,2185.2304799038675,120.28560706743316,736.5019131677124,0.8538420758157838,2145.187347254933,2697.976958577005,-0.13839312276326887,7.0
CatBoost,2076.6190266239328,101.13315969158195,821.052562811878,0.8153378081371806,2185.10475397649,2704.5261165433812,-0.1439265764481683,7.0
XGBoost,2166.0068613547473,137.40428497657953,102.77295222737251,0.9962515562055871,2204.8601120227627,2713.022707117584,-0.1511254296241431,7.0
Decision Tree,2466.5398968312484,207.240950058639,1214.34910664613,0.4626527211782615,2388.0974327640074,3092.8490695661535,-0.4960056879983896,7.0
