,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
Tuned Ridge Regression,,,5803.903076049182,0.006577568012926971,5343.682136959252,6663.888998029606,-0.03865555011081545,
Tuned Lasso Regression,,,5802.497000704665,0.006986145422676282,5345.98225968167,6676.585662670717,-0.042617207993647765,
Lasso Regression,5835.301896546896,185.84426461238164,5800.24498724509,0.007405906222652248,5366.696576066677,6697.759079443407,-0.049240585322697816,5.0
Ridge Regression,5834.843299820534,184.52721080689085,5800.300974269609,0.00740589190826102,5367.07043881335,6698.078244707583,-0.049340585673142145,5.0
Linear Regression,5836.603765386675,186.51684509236605,5800.270623202827,0.00740608833982459,5367.326176765296,6698.190703556747,-0.04937582223532999,5.0
Random Forest,6230.079054547883,306.89627647466085,2270.6658631716596,0.8489346752248121,5597.034799794565,7116.574109846703,-0.18456252782057825,5.0
Gradient Boosting,6157.7732460564175,353.67881561750096,4542.669315095587,0.3880640352568566,5661.851566558789,7129.047246033467,-0.18871850446653315,5.0
CatBoost,6376.821707306675,311.0111459825889,2864.542960184535,0.7536311368176013,5885.404017436656,7383.218998994573,-0.2749922313207007,5.0
LightGBM,6675.805816648157,241.79190980292103,2806.401171071521,0.7579518764056873,6015.817793238518,7521.066296269761,-0.32304577811477886,5.0
XGBoost,6885.776490802518,334.26978159350824,425.41077866210816,0.9928608591396941,6080.8299387862435,7744.520518079831,-0.4028302005047819,5.0
Decision Tree,6888.0822145721995,227.956721985614,3512.487687608855,0.5235583990376791,6125.747351304588,8005.718103742065,-0.4990517472166114,5.0
