,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
LightGBM,2185.2304799038675,120.28560706743316,1900.2789692150359,0.016123920791324853,2038.2033869018917,2524.6968918162793,0.003139743802415995,7.0
CatBoost,2076.6190266239328,101.13315969158195,1885.0428436252414,0.03113694854967486,2039.545692491102,2526.838046962327,0.0014481842623957908,7.0
Random Forest,2026.0014103740607,101.87642048585779,1795.89059603618,0.12295898668623217,2023.0345347361977,2527.313074161853,0.0010727079952480567,7.0
XGBoost,2166.0068613547473,137.40428497657953,1899.3562627825147,0.016702085494850416,2040.023243469181,2527.5749584595587,0.0008656763228492848,7.0
Gradient Boosting,2024.032936117876,85.3134371617958,1899.972500953693,0.01885561894452148,2043.3519919343712,2528.4506351259806,0.00017325755329056225,7.0
Tuned Gradient Boosting,,,1913.0421924824664,0.0020101342960058277,2041.4965105509805,2528.9609491065144,-0.00023037069776710162,
Lasso Regression,1933.7424529473021,114.02695221880514,1914.8568902635952,0.0,2041.9172906978324,2529.387691619374,-0.0005679613869529199,7.0
Ridge Regression,1933.0527731242553,114.59458113423898,1906.725547336319,0.0067008951957882035,2041.8938701758698,2535.4420174216452,-0.005363599760825677,7.0
Linear Regression,1934.084288006352,114.98218680025091,1904.6021581781342,0.011905237224129173,2034.7622276713612,2535.7459592921264,-0.0056046546983865575,7.0
Tuned Linear Regression,,,1904.6021581781342,0.011905237224129173,2034.7622276713612,2535.7459592921264,-0.0056046546983865575,
Decision Tree,2466.5398968312484,207.240950058639,1891.356719512219,0.02510073850424943,2045.6323666769015,2542.455811203407,-0.010933568293704843,7.0
