energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years,efficiency
13.8,2.68,51768.21,0.14,80.72,138080.3,5.19,328.7,14.33,10005.818840579708
15.58,6.33,44111.33,0.15,48.22,237818.1,6.09,255.42,11.31,15264.319640564827
18.01,3.63,48772.91,0.14,67.79,126086.59,4.6,311.03,10.64,7000.921154913936
13.7,-0.85,39148.49,0.1,67.86,135491.49,7.07,266.63,9.26,9889.889781021897
10.84,-0.66,46485.86,0.13,79.55,126796.32,7.46,263.66,14.83,11697.07749077491
19.24,-9.97,35488.24,0.14,72.1,135997.24,8.64,352.84,8.24,7068.463617463618
14.04,3.86,58508.98,0.13,77.5,140844.33,6.05,376.8,12.21,10031.647435897436
12.68,2.57,40399.54,0.06,86.36,132925.55,5.44,257.96,15.33,10483.087539432176
15.16,10.73,47529.74,0.14,51.96,114031.46,7.37,213.04,9.33,7521.864116094987
15.47,1.81,47001.62,0.11,70.93,137399.17,4.82,258.77,11.96,8881.65287653523
11.22,-1.94,51057.54,0.13,56.26,130842.43,6.02,316.05,10.17,11661.535650623884
17.03,8.55,58539.76,0.08,77.01,152968.01,4.97,330.76,9.04,8982.267175572519
14.33,0.12,68093.06,0.11,78.14,173592.19,4.9,196.58,15.23,12113.900209351012
14.72,4.62,48554.81,0.09,69.69,136397.58,5.37,211.12,10.99,9266.139945652172
15.3,0.95,58852.31,0.19,81.84,142147.25,5.92,358.92,12.29,9290.669934640522
10.58,-0.18,38880.33,0.13,67.78,91279.84,7.16,230.04,12.81,8627.584120982987
14.21,-1.67,45757.64,0.12,59.82,74331.66,6.06,243.74,12.43,5230.94018296974
16.42,6.64,58187.78,0.1,63.32,134204.05,6.44,352.61,11.71,8173.20645554202
9.61,-0.94,46294.92,0.13,56.07,131772.94,6.55,206.35,7.59,13712.064516129034
14.95,1.09,48372.07,0.11,62.23,226181.45,4.73,308.17,8.14,15129.193979933112
13.04,3.15,27807.0,0.13,73.44,168796.15,6.14,287.63,14.58,12944.490030674848
14.9,-0.64,52956.24,0.1,61.94,160750.34,5.36,296.86,10.59,10788.613422818791
14.63,-2.42,48832.34,0.09,77.56,183096.53,6.44,328.85,12.29,12515.142173615857
13.85,8.2,56295.3,0.13,57.3,150882.92,6.82,365.71,13.94,10894.073646209388
16.56,0.08,64898.63,0.13,43.69,153704.39,5.78,323.79,11.95,9281.666062801934
15.23,1.34,53405.89,0.13,50.5,90721.1,7.48,254.42,12.19,5956.736703873933
16.28,0.7,54736.32,0.16,71.68,188761.81,6.58,363.04,10.24,11594.705773955773
15.66,1.19,48522.2,0.16,70.8,165150.63,4.45,205.69,11.47,10546.01724137931
15.47,-8.08,64641.77,0.1,58.23,129955.71,5.39,192.35,12.03,8400.498383968972
12.84,1.07,49685.61,0.12,68.5,141454.89,5.8,303.69,9.68,11016.735981308413
15.26,6.18,49184.77,0.14,79.29,171724.1,6.49,258.29,13.59,11253.21756225426
13.38,9.13,52602.81,0.1,62.24,133286.08,6.07,319.85,12.46,9961.590433482808
15.41,-2.0,42333.43,0.12,75.53,151103.48,5.67,284.4,9.35,9805.547047371838
15.36,2.14,60964.69,0.12,68.12,185025.29,7.59,333.13,11.47,12045.917317708334
14.62,0.75,57408.24,0.13,86.3,145974.59,5.79,353.06,10.22,9984.582079343365
15.52,-9.99,39281.43,0.14,64.1,116347.47,6.09,296.81,14.33,7496.615335051547
17.13,-4.94,30723.27,0.08,67.2,142042.87,5.46,311.71,12.53,8292.053123175716
14.01,12.46,59788.58,0.05,65.7,163700.64,7.47,267.91,16.42,11684.556745182013
11.97,-4.84,55885.53,0.17,69.37,201935.09,7.28,198.75,13.89,16870.099415204677
15.44,11.16,53584.54,0.13,83.25,147398.97,7.34,328.24,10.36,9546.565414507773
16.5,5.25,48089.72,0.17,59.6,174505.11,5.66,334.36,12.02,10576.067272727272
16.64,6.92,41891.42,0.11,67.03,134892.91,7.14,394.89,15.49,8106.545072115385
13.69,-3.85,36696.86,0.1,91.96,103236.39,6.64,300.75,11.2,7541.0073046019
18.19,9.37,54097.63,0.18,73.56,201477.23,5.35,436.1,14.04,11076.263331500824
13.8,-2.44,40428.49,0.16,71.76,131406.84,4.56,319.77,12.61,9522.234782608695
14.45,5.98,60729.78,0.12,73.23,195463.34,6.04,347.41,11.85,13526.874740484429
9.76,4.98,43823.48,0.1,65.54,156025.35,7.71,336.59,7.86,15986.203893442624
15.77,3.31,67495.84,0.12,56.43,131941.67,4.1,388.25,10.41,8366.62460367787
15.34,-4.68,69625.87,0.1,69.19,136561.16,5.5,381.86,11.72,8902.292046936114
17.71,-5.6,44172.41,0.13,63.67,143853.7,5.73,253.04,12.18,8122.738565782044
13.07,10.28,55720.57,0.13,73.5,178917.21,5.19,283.67,13.66,13689.151491966335
12.54,3.51,35324.75,0.11,70.04,130228.82,6.96,367.65,12.69,10385.073365231261
13.9,1.44,61797.25,0.1,71.31,140970.59,5.38,157.5,8.79,10141.769064748201
12.2,-4.09,46686.92,0.12,54.16,154962.11,6.44,337.67,15.79,12701.812295081967
13.05,-3.27,45341.94,0.16,67.64,191729.17,5.74,340.5,13.24,14691.890421455939
13.75,-10.76,64223.7,0.11,76.06,177312.55,5.68,299.22,8.19,12895.458181818181
14.58,1.94,67389.0,0.16,75.09,197212.03,5.76,152.29,11.82,13526.202331961591
11.66,6.11,51752.11,0.14,65.12,127621.74,5.65,349.27,11.53,10945.260720411665
11.81,-5.23,42782.62,0.13,74.87,114367.04,6.33,268.49,12.47,9683.915325994918
12.99,-12.96,52612.51,0.12,77.16,176847.32,5.76,343.2,13.91,13614.112394149346
20.44,-5.52,50068.0,0.14,66.57,150470.93,6.88,263.78,11.49,7361.591487279843
14.08,0.88,36807.53,0.1,80.22,130669.79,7.43,248.04,15.73,9280.524857954544
12.97,-3.26,47354.85,0.07,65.19,86857.51,8.18,298.25,10.53,6696.801079414032
18.29,-3.92,53038.19,0.1,78.46,144904.43,4.17,295.23,12.96,7922.604155276107
15.75,-3.64,45080.98,0.11,83.1,163769.82,7.74,312.74,12.69,10398.08380952381
14.63,0.9,63289.33,0.11,65.31,168383.72,5.18,342.54,9.64,11509.481886534517
15.23,-4.49,81099.19,0.15,54.02,182463.37,6.98,147.77,13.6,11980.523309258042
12.07,-0.4,49242.36,0.16,59.68,139622.42,6.74,214.2,17.27,11567.72328086164
18.1,4.82,44263.98,0.13,66.12,151506.83,4.85,325.81,11.76,8370.54309392265
15.44,1.34,49194.0,0.12,62.61,80873.64,5.09,321.4,10.27,5237.930051813471
12.86,-1.85,38523.09,0.15,80.4,175008.1,7.08,252.93,11.71,13608.716951788492
17.81,3.19,49807.4,0.13,79.58,142271.39,5.24,276.11,12.84,7988.286917462101
17.1,2.45,60909.8,0.16,55.55,143485.24,5.85,244.34,10.82,8390.949707602338
17.38,-4.03,48126.71,0.11,79.68,159638.74,4.37,319.95,10.7,9185.197928653624
19.38,-5.73,55471.19,0.14,59.04,129490.97,5.22,203.3,13.77,6681.680598555212
15.2,-5.12,47702.0,0.16,73.48,112813.13,3.3,181.05,10.73,7421.916447368421
12.84,-8.8,49545.89,0.14,64.22,162850.26,4.59,323.05,10.03,12683.042056074768
14.93,12.02,47714.0,0.11,67.57,200200.92,6.82,387.66,9.97,13409.304755525789
16.04,7.97,48967.45,0.12,64.85,172398.34,4.52,368.32,12.53,10748.026184538654
14.89,4.93,35944.33,0.13,69.65,197045.47,5.06,402.22,11.56,13233.40967092008
11.95,1.89,50852.09,0.14,62.6,131966.2,4.16,356.05,11.6,11043.196652719667
13.45,-4.42,62358.12,0.12,72.23,197668.21,5.57,274.73,12.47,14696.521189591078
17.56,10.83,40824.97,0.1,45.02,176285.22,6.33,320.0,12.52,10039.021640091118
16.03,-3.31,53556.13,0.14,41.45,134821.01,6.13,374.48,8.88,8410.543356207112
15.24,3.71,41956.84,0.12,76.69,165499.33,5.8,335.66,9.41,10859.536089238843
14.93,10.85,49663.87,0.09,58.17,168793.04,8.14,429.94,14.03,11305.628935030141
16.21,-1.21,60450.88,0.13,68.71,87426.23,4.84,285.02,13.33,5393.351634793337
17.71,-4.0,38103.33,0.12,83.12,179109.49,6.42,257.54,12.84,10113.466403162054
11.68,6.7,51814.27,0.16,68.3,152838.63,6.69,356.39,10.58,13085.499143835617
16.85,3.89,55706.13,0.16,60.41,171094.28,7.23,386.28,17.01,10153.963204747773
13.8,1.97,38512.06,0.12,60.33,112116.91,5.82,296.64,13.56,8124.413768115942
14.92,-1.6,55731.28,0.12,74.86,242948.98,7.54,232.98,10.97,16283.443699731904
16.36,11.05,60075.14,0.12,70.09,178737.96,5.37,333.11,13.47,10925.303178484108
16.74,-1.96,45335.05,0.16,67.94,173142.05,6.96,314.4,15.68,10343.013739545999
16.42,1.42,57567.89,0.16,55.56,111955.9,4.24,288.31,16.07,6818.264311814859
13.34,6.96,42820.81,0.08,78.71,83292.77,6.15,239.7,12.42,6243.835832083958
19.38,-3.03,45865.35,0.14,72.95,168262.07,6.91,328.62,13.62,8682.253353973168
15.49,5.43,33605.16,0.11,79.83,187336.95,5.57,374.77,12.95,12094.0574564235
15.09,-7.97,47049.1,0.17,63.62,225027.01,6.82,246.21,13.42,14912.326706428099
13.49,4.27,54663.58,0.11,62.88,116158.12,6.44,301.93,11.77,8610.683469236472
15.37,5.2,36739.52,0.09,90.42,82517.03,6.06,330.46,10.14,5368.707221860768
18.16,-5.45,62468.92,0.08,70.85,146729.3,4.5,297.06,9.84,8079.807268722467
18.51,5.36,61695.9,0.12,59.14,114287.77,5.18,299.48,13.89,6174.379794705565
13.85,-3.77,60352.49,0.12,75.85,84660.97,6.75,341.66,9.49,6112.705415162455
15.56,-2.71,68486.09,0.12,72.11,123194.55,4.71,300.11,12.87,7917.387532133676
14.38,5.86,58743.89,0.13,74.49,150583.75,7.03,298.63,11.42,10471.748956884561
15.19,-3.54,53498.0,0.08,56.05,137684.45,3.65,260.2,12.99,9064.150757077025
18.73,-3.44,46248.04,0.08,75.27,154120.57,5.84,358.39,12.36,8228.54084356647
16.58,5.53,74126.15,0.11,63.92,108582.04,5.89,278.21,14.28,6548.977080820266
22.71,8.75,49992.91,0.13,58.74,151869.94,5.34,357.73,12.69,6687.359753412594
14.6,2.37,58876.55,0.12,65.35,120637.77,6.03,251.39,11.47,8262.86095890411
14.5,-1.82,47706.09,0.13,82.55,177779.25,7.3,243.29,10.8,12260.637931034482
16.26,3.0,58491.02,0.15,65.98,97593.13,6.11,276.32,11.75,6002.037515375154
17.32,-2.37,47559.2,0.15,72.43,97606.0,5.3,270.15,12.4,5635.4503464203235
15.68,1.0,53721.05,0.18,72.09,207008.05,5.71,359.46,12.35,13202.04400510204
16.09,-2.68,59375.7,0.11,76.33,145754.11,5.16,372.18,14.06,9058.676817899315
13.07,-3.13,57324.92,0.21,72.87,209741.11,5.72,296.36,11.8,16047.52180566182
13.91,-3.04,40516.52,0.13,65.29,105643.59,3.29,333.14,15.33,7594.794392523364
12.99,0.32,49944.04,0.15,62.37,155951.81,5.51,323.73,12.13,12005.528098537336
13.87,0.49,46075.29,0.1,56.0,216944.97,4.7,285.77,11.69,15641.310021629417
13.86,-0.82,53341.76,0.17,78.08,164038.51,5.99,382.65,10.63,11835.390331890332
13.71,1.73,59262.15,0.14,80.54,158675.51,5.5,195.96,11.28,11573.7060539752
16.65,-1.4,70895.39,0.1,74.92,204042.9,5.74,317.98,14.24,12254.82882882883
14.86,-6.47,25611.83,0.17,71.89,150941.88,5.16,280.78,14.33,10157.596231493944
13.04,6.07,39127.54,0.09,49.78,137705.96,5.6,371.82,9.75,10560.27300613497
16.74,-3.35,46402.31,0.11,46.28,227159.86,6.36,323.21,9.27,13569.88410991637
13.49,2.51,38489.86,0.13,59.14,156068.41,6.52,314.67,11.46,11569.192735359526
15.72,0.63,68043.48,0.13,72.44,140076.75,5.45,306.98,4.33,8910.734732824427
14.77,-1.02,55844.13,0.21,78.92,124727.02,5.06,277.82,11.98,8444.618821936358
11.89,2.05,52493.09,0.12,75.77,139703.82,5.75,261.91,15.49,11749.690496215308
14.4,-2.14,62038.84,0.14,49.93,181114.77,5.1,402.99,14.27,12577.414583333331
12.14,-4.52,53196.52,0.11,50.04,133562.84,6.97,303.92,9.86,11001.881383855023
12.6,-3.25,66172.13,0.11,70.25,179161.71,5.4,334.95,10.59,14219.183333333332
14.51,5.94,50720.37,0.06,68.85,120050.8,6.95,381.95,11.69,8273.659545141281
