,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
Tuned Ridge Regression,,,1318.7889233196722,0.9827333955811255,1275.6299227730233,2058.3368066622374,0.9804413361735362,
Tuned Lasso Regression,,,1318.377956999127,0.9827339614608931,1279.1967200183387,2060.9590850810823,0.9803914697649108,
Ridge Regression,6085.661038808244,235.8916102372546,6018.840195281461,0.014332927786685157,6420.137039813285,8241.986316507655,-0.01849361369340552,8.0
Lasso Regression,6088.06823741885,233.2677383626568,6018.937553613388,0.014380543701252413,6423.75881252987,8244.337031244493,-0.019074670074935574,8.0
Linear Regression,6088.831040614505,232.25295590399796,6019.407423685399,0.014390903640665087,6426.300075172268,8245.907591269053,-0.019462977923940583,8.0
Gradient Boosting,6535.900669352724,400.7399171034669,4572.475432267208,0.46957114279230916,6569.175109224062,8431.68400472957,-0.06591647787487998,8.0
Random Forest,6434.666326565921,329.42155095235205,2329.0932906418384,0.8509835771668195,6580.570420031493,8470.720166191939,-0.07580907037652129,8.0
CatBoost,6765.83414486404,310.093545978271,2265.114799904119,0.8653725123109086,6711.892749253358,8526.752157038589,-0.09008863374254839,8.0
LightGBM,7041.708278799747,316.9355946187824,2268.637471152399,0.8147804785773184,7166.746632196004,9083.897898035373,-0.23719746123551166,8.0
XGBoost,7060.549071745457,200.4168311608866,226.79793325730995,0.9983189932739694,7277.875665318064,9279.93783195833,-0.29117368263167887,8.0
Decision Tree,7226.202344108155,596.7976120131761,3618.8354362301075,0.5898956280798211,8213.229879102575,10437.485592894982,-0.6333765261294595,8.0
