,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
LightGBM,2185.2304799038675,120.28560706743316,1900.2789692150359,0.016123920791324853,2038.2033869018917,2524.6968918162793,0.003139743802415995,7.0
CatBoost,2076.6190266239328,101.13315969158195,1885.0428436252414,0.03113694854967486,2039.545692491102,2526.838046962327,0.0014481842623957908,7.0
Random Forest,2026.0014103740602,101.87642048585776,1795.89059603618,0.1229589866862324,2023.0345347361979,2527.313074161853,0.0010727079952480567,7.0
XGBoost,2166.0068613547473,137.40428497657953,1899.3562627825147,0.016702085494850416,2040.023243469181,2527.5749584595587,0.0008656763228492848,7.0
Gradient Boosting,2024.032936117876,85.3134371617958,1899.972500953693,0.01885561894452148,2043.3519919343712,2528.4506351259806,0.00017325755329056225,7.0
Tuned Gradient Boosting,,,1914.3104687285406,0.0006000908746986999,2041.7195243851304,2529.223241550373,-0.00043786023885639125,
Lasso Regression,1927.7454388089463,113.99987407818719,1914.8568902635952,0.0,2041.9172906978324,2529.387691619374,-0.0005679613869529199,7.0
Ridge Regression,1927.2289580114982,114.42740551805359,1909.5891388315588,0.004971936700789659,2043.4006335566332,2532.0873430609,-0.002704942012496492,7.0
Linear Regression,1929.3407498049564,117.00473470465946,1901.3005819471427,0.013932232571227998,2032.0093535888734,2533.470218931784,-0.0038004769809472094,7.0
Tuned Linear Regression,,,1901.3005819471427,0.013932232571227998,2032.0093535888734,2533.470218931784,-0.0038004769809472094,
Decision Tree,2466.5398968312484,207.240950058639,1891.356719512219,0.02510073850424943,2045.6323666769015,2542.455811203407,-0.010933568293704843,7.0
