,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
XGBoost,6885.776490802518,334.26978159350824,5788.0529214468625,0.014299769571672782,5330.633211288183,6627.677052375655,-0.027397995790911622,5.0
CatBoost,6376.821707306675,311.0111459825889,5804.002942542261,0.008123971179172296,5333.690944432039,6630.480106719207,-0.02826721780708774,5.0
Gradient Boosting,6157.7732460564175,353.67881561750096,5780.965539710824,0.017320417070495253,5331.997244813508,6631.533571872517,-0.02859399044462685,5.0
LightGBM,6675.805816648157,241.79190980292103,5780.961331948532,0.016321149652610223,5327.974156167079,6636.481093083114,-0.030129348405352196,5.0
Ridge Regression,5832.42488805515,178.31715780381316,5805.915451106383,0.005984094278192353,5340.8118315333395,6656.170086109633,-0.03625075392733246,5.0
Lasso Regression,5845.414113819451,178.2977331338362,5808.16311748972,0.00599148752861467,5342.683257768429,6661.617723642971,-0.03794765424902846,5.0
Tuned Ridge Regression,,,5804.242770560067,0.006498218574503389,5344.119972292835,6663.467429955513,-0.038524140307905075,
Tuned Lasso Regression,,,5804.3826457130235,0.006804201928708231,5344.421246103023,6670.58062458428,-0.040742555063841834,
Linear Regression,5853.388302335881,179.94995573054143,5801.078683417348,0.008276573168349288,5382.158242331267,6716.563154775112,-0.05514037805371608,5.0
Random Forest,6230.079054547882,306.8962764746612,5528.815379722705,0.10835225462745934,5385.177406259401,6789.673175983696,-0.07823587397218978,5.0
Decision Tree,6888.0822145721995,227.956721985614,5755.903735635044,0.02853792359473728,5424.640667202353,6816.99267064912,-0.08693029002976749,5.0
