,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
Linear Regression,1.8576429283712057e-11,1.748206386051229e-11,1.4088072930462659e-11,1.0,1.3405951904132962e-11,1.734251627429771e-11,1.0,10.0
Lasso Regression,4.88619988228501,0.18289580542761402,0.0004923151381763092,0.9999999999999961,0.0004943793131315033,0.0006344905115826061,0.9999999999999961,10.0
Tuned Lasso Regression,,,0.0007442697541955568,0.999999999999991,0.0007473903231039003,0.0009592069405783249,0.999999999999991,
Ridge Regression,491.557298710674,63.27198869763571,0.1643098215476539,0.9999999993615551,0.17099496522956542,0.2682021016953441,0.9999999992961219,10.0
Tuned Ridge Regression,,,0.1643098215476539,0.9999999993615551,0.17099496522956542,0.2682021016953441,0.9999999992961219,
Gradient Boosting,98.55282399374654,9.110625216472922,1.5453815871721008,0.9999999457373355,94.6779414239371,710.5996902760639,0.9950589060536208,10.0
Decision Tree,122.9458124999998,15.647380246580575,0.021279166666654418,0.9999999997046412,158.74875000000011,777.0125274171905,0.9940921545555039,10.0
XGBoost,190.4041184570313,24.696980554124423,40.52099980468751,0.9998294772038904,177.67397617187504,888.1120725156194,0.9922819314608562,10.0
Random Forest,82.02015512499794,13.93481673017046,37.58045385569922,0.9997460092738518,142.0066955439515,891.1129952991942,0.9922296847694704,10.0
CatBoost,277.0028494283025,24.327107978209106,136.6207384827871,0.9996275645523623,258.80223994517223,951.1241492220549,0.9911478757552716,10.0
LightGBM,320.4868267793821,57.622780227310855,189.65453957200162,0.9962586332101381,360.393801284944,1545.8778771194843,0.9766157498716709,10.0
