,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
Linear Regression,1.5197542064776352e-11,3.0734434944356977e-12,1.5404424046570047e-11,1.0,1.684384187683463e-11,2.2408295763939522e-11,1.0,9.0
Lasso Regression,4.725708568124649,0.2696689780168139,0.0004739919830053326,0.9999999999999984,0.0004705197517250781,0.0005861116324222645,0.9999999999999984,9.0
Ridge Regression,948.3468975771357,82.08713864469954,0.13434965518038675,0.9999999998574597,0.11613270496862242,0.1461785472326567,0.9999999999013554,9.0
Tuned Gradient Boosting,,,9.930232936168194,0.9999989889279025,42.53847676881025,94.8420311734712,0.9999584751574084,
Gradient Boosting,152.42908765364334,12.449029560673647,2.257901055113582,0.9999999480047512,43.275132760689594,99.2211363607972,0.9999545520084797,9.0
Tuned Random Forest,,,39.1819737880993,0.9998923557502106,76.72838667081847,192.71703791055293,0.9998285464326334,
Random Forest,119.2478352865528,10.682451201943062,50.82644028763357,0.9998770797950419,82.22217418919514,195.2644100207817,0.9998239838614719,9.0
XGBoost,279.43162882210606,24.45183822066248,1.41103471569537,0.9999999837111614,119.93025624999999,214.42902422383142,0.9997877374190579,9.0
CatBoost,485.26236529209837,18.647357337176,227.30899754914688,0.9996106775515566,239.0870274666109,307.06508457927566,0.9995647215404492,9.0
Decision Tree,186.16256874344862,21.202750038352892,0.01936090225563545,0.9999999997624087,141.98539999999997,332.8880965414647,0.9994884326320627,9.0
LightGBM,541.0938519596648,68.50394340340837,278.55667151604064,0.9970370273169771,256.21144351248756,689.3759108153283,0.9978060915080901,9.0
