,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
CatBoost,14018.536174791117,573.9977169669431,11609.690115361498,0.7597602384801381,12940.23485270747,16185.856615987166,0.7204783925915772,7.0
Gradient Boosting,13845.468929258554,586.7403776636065,11835.778617973165,0.7499457469052261,13083.431824987294,16211.610748685853,0.7195881630589397,7.0
Ridge Regression,13451.262195276246,406.8899825355333,13170.16979800514,0.6837496077706278,13088.972043169942,16245.322959481027,0.7184207118755457,7.0
Tuned Lasso Regression,,,13170.161961097945,0.6837496077863385,13088.972735172669,16245.324140009938,0.718420670951459,
Lasso Regression,13332.647490079407,302.6275300195909,13170.161891911339,0.6837496077863502,13088.972760733805,16245.324203806615,0.7184206687398903,7.0
Linear Regression,13332.329341559986,301.8001968154008,13170.161759653804,0.683749607786359,13088.972819546103,16245.324334421319,0.718420664212015,7.0
Tuned Linear Regression,,,13170.161759653804,0.683749607786359,13088.972819546103,16245.324334421319,0.718420664212015,
XGBoost,14497.331915625002,432.71194818134825,11251.854948046876,0.7732073225906719,13267.6047140625,16411.03541455231,0.7126468430596465,7.0
Random Forest,13748.142316249994,711.5922294071529,11931.640913598541,0.7422433642909176,13220.2278260072,16542.50510419784,0.7080243983297718,7.0
Decision Tree,17610.56883436621,1351.9426755942523,12866.608263411594,0.704058107347763,13403.254636666981,16684.646010122226,0.7029852610128422,7.0
LightGBM,14560.983220746988,514.2236159143865,10695.791681845956,0.7929386363527707,13590.707107904203,16838.7052719654,0.6974749102100042,7.0
