,cv_mae_mean,cv_mae_std,train_mae,train_r2,test_mae,test_rmse,test_r2,features_used
CatBoost,21138.511962977682,1085.9150670884837,17910.714517886336,0.6431876385809903,21018.0837332314,26693.530935206272,0.4855657612830798,6.0
Gradient Boosting,20774.262806043895,1008.9637201376347,18334.549505729505,0.6284634179206987,21047.7244011503,26733.219580575627,0.48403487527702826,6.0
Random Forest,20885.64022366528,866.6845566248985,18648.201639908955,0.6182909903828091,21266.406785601575,26806.593940026643,0.48119866129560507,6.0
XGBoost,22650.52426862598,1222.6673998392698,17533.22410435268,0.6546086586067773,21373.66309630102,27128.365859189857,0.468669086972494,6.0
Decision Tree,25815.560051533725,757.9496224489416,19769.853013244512,0.5701576146476524,21820.46160801773,27300.9250044219,0.4618881692721519,6.0
LightGBM,21941.799186267403,950.0785283998008,16472.427240653135,0.6974430941156854,21954.164875072005,27674.895011258537,0.4470450114653223,6.0
Tuned Lasso Regression,,,22356.719736887968,0.41940933469411745,22265.45963129179,28618.93818900094,0.4086768935156486,
Linear Regression,22552.289961966475,1037.254461305289,22319.905261192973,0.4196258220879062,22214.62721406571,28620.87590564488,0.4085968167910684,6.0
Tuned Linear Regression,,,22319.905261192973,0.4196258220879062,22214.62721406571,28620.87590564488,0.4085968167910684,
Ridge Regression,23146.102564164714,944.3599504088138,22319.952297638294,0.4196258219633876,22214.673650840152,28620.909262435078,0.4085954382641871,6.0
Lasso Regression,22551.829437840275,1036.3027314921071,22372.228201201728,0.41921711484356283,22289.970838703124,28621.295704949975,0.4085794677436859,6.0
